samson_kurtrsion Name.jpg	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
samson_kurt_3156.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3154.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3153.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Tasting		1
samson_kurt_3152.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3151.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3147.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3145.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3141.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3140.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3139.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3134.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3133.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson checking the dockets		1
samson_kurt_3130.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3128.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3127.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3124.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson calling the orders		1
samson_kurt_3121.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3120.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3118.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3117.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3115.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3112.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3111.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3107.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3104.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3103.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3100.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3099.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3098.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3092.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
